Polarity,Time(min),mz,Area,Identification,mz Identification,MS/MS Sampled,Identified Lipid Feature,Redundant ID
+,0.546,425.13724,186447.8077,,,false,false,,
+,0.546,622.25421,39317.26258,,,false,false,,
-,0.547,311.16873,1028890.264,,,false,false,,
-,0.547,473.28275,179111.4139,,,false,false,,
-,0.547,515.21252,43446.00793,,,false,false,,
-,0.547,367.17715,29815.98646,,,false,false,,
-,0.547,295.11877,28458.51526,,,false,false,,
-,0.547,787.44,26662.61435,,,false,false,,
-,0.547,415.21268,23376.00225,,,false,false,,
+,0.547,273.0907,49779.15998,,,false,false,,
-,0.548,558.284,1975206.631,,,true,false,,
-,0.548,584.30017,377359.8736,,,true,false,,
-,0.548,447.13452,151428.4246,,,true,false,,
-,0.548,221.15427,116099.7129,,,false,false,,
-,0.548,508.26831,61856.15728,,,false,false,,
-,0.548,498.28998,28091.80876,,,false,false,,
+,0.548,335.10562,3293079.768,,,true,false,,
-,0.549,229.15939,1418126.611,,,true,false,,
-,0.549,582.28412,789194.7384,,,true,false,,
+,0.549,381.16919,221593.3874,,,true,false,,
+,0.549,234.13354,20648.23148,,,false,false,,
-,0.55,317.13934,792728.5149,,,true,false,,
-,0.55,297.15298,466478.3136,,,false,false,,
-,0.55,273.14972,344884.6141,,,true,false,,
-,0.55,213.12793,114833.0818,,,false,false,,
-,0.55,265.14804,110508.3306,,,false,false,,
-,0.55,460.17688,10527.49311,,,false,false,,
+,0.55,529.14325,52408.01285,,,false,false,,
+,0.55,464.28302,17951.24323,,,false,false,,
-,0.551,482.2951,14003.18429,,,false,false,,
-,0.551,471.22351,9251.140978,,,false,false,,
+,0.551,659.33978,392977.7932,,,true,false,,
-,0.552,325.18436,840964.9211,,,false,false,,
-,0.552,333.13446,41113.30938,,,false,false,,
-,0.552,351.18359,31425.61581,,,false,false,,
+,0.552,584.29846,211598.311,,,false,false,,
+,0.552,401.22968,39059.25508,,,false,false,,
+,0.552,756.39325,79045.29821,,,false,false,,
-,0.553,293.1796,54333.93354,,,false,false,,
+,0.553,295.15366,18415.32576,,,false,false,,
-,0.554,225.14922,78822.04198,,,false,false,,
-,0.554,403.21222,29075.72793,,,false,false,,
+,0.554,605.35699,72436.35445,,,false,false,,
+,0.554,367.17462,42475.8217,,,false,false,,
+,0.554,292.10016,15777.92818,,,false,false,,
-,0.555,379.15527,251399.0392,,,false,false,,
-,0.555,339.1998,198338.1394,,,false,false,,
-,0.555,458.19568,4889.553023,,,false,false,,
+,0.555,309.12653,3053145.046,,,false,false,,
+,0.555,490.28574,27778.39826,,,false,false,,
-,0.556,277.14413,29102.80111,,,false,false,,
-,0.556,282.1347,24277.6311,,,false,false,,
+,0.556,263.12091,97704.13246,,,false,false,,
-,0.557,227.1286,363747.0294,,,false,false,,
-,0.557,243.1599,53220.35694,,,false,false,,
-,0.557,207.13852,36783.06822,,,false,false,,
-,0.557,531.27478,28171.91122,,,false,false,,
+,0.557,853.44629,38216.48603,,,false,false,,
+,0.557,387.18021,21438.51353,,,false,false,,
+,0.557,368.18121,20623.1257,,,false,false,,
-,0.558,298.12823,16642.86611,,,false,false,,
+,0.558,411.19955,16527.37818,,,false,false,,
-,0.559,229.13432,446973.3857,,,true,false,,
+,0.559,202.10742,115788.909,,,true,false,,
+,0.559,310.17563,9567.128723,,,false,false,,
-,0.56,307.11234,352398.969,,,true,false,,
+,0.56,227.10043,7290.551365,,,false,false,,
+,0.561,353.11636,1411375.107,,,false,false,,
+,0.561,220.11787,98271.24727,,,true,false,,
+,0.562,380.14615,13116.86348,,,false,false,,
+,0.563,416.1828,23586.79427,,,false,false,,
-,0.564,448.30698,79713.3399,,,true,false,,
-,0.565,211.1335,64465.84788,,,false,false,,
+,0.566,376.15146,29770.79814,,,false,false,,
+,0.567,732.55304,14558.92858,,,false,false,,
+,0.569,404.14645,25210.54004,,,false,false,,
+,0.57,399.24399,120324.8945,,,false,false,,
+,0.572,464.20383,10801.13651,,,false,false,,
+,0.572,427.19458,3851.593353,,,false,false,,
+,0.573,290.15964,23771.14515,,,false,false,,
+,0.573,450.18805,11172.76842,,,false,false,,
-,0.574,825.47198,11342.58682,,,false,false,,
+,0.575,422.1572,8662.730614,,,false,false,,
+,0.575,504.23969,4101.432219,,,false,false,,
-,0.581,245.13919,6003.797015,,,false,false,,
-,0.582,383.14255,5033.914386,,,false,false,,
+,0.584,741.46722,21457.5298,,,false,false,,
+,0.589,388.25391,77053.81516,,,false,false,,
+,0.59,476.30655,227417.2972,,,false,false,,
+,0.59,371.22729,64685.65146,,,false,false,,
+,0.59,375.09793,22449.69814,,,false,false,,
+,0.591,432.28027,155786.5255,,,false,false,,
+,0.594,435.36923,13527.34459,,,false,false,,
+,0.6,277.10464,33765.07608,,,false,false,,
+,0.602,321.13074,46438.78217,,,false,false,,
+,0.602,256.11566,10746.28774,,,false,false,,
+,0.603,421.23279,27206.13694,,,false,false,,
+,0.604,325.16321,24882.70772,,,false,false,,
+,0.605,379.17294,22077.9689,,,false,false,,
+,0.606,296.30588,33557.06386,,,false,false,,
+,0.607,399.22183,22427.52522,,,false,false,,
+,0.609,333.18857,12669.60258,,,false,false,,
+,0.609,259.1806,6549.162771,,,false,false,,
+,0.609,305.10004,5231.327241,,,false,false,,
+,0.611,315.11789,20818.42628,,,false,false,,
+,0.612,319.11432,12033.03988,,,false,false,,
+,0.613,341.1572,28230.56805,,,false,false,,
+,0.615,295.11526,31805.36716,,,false,false,,
+,0.618,326.08786,36372.18394,,,false,false,,
+,0.62,275.12317,34593.3352,,,false,false,,
+,0.621,251.12547,35122.16013,,,false,false,,
+,0.621,306.24271,8177.111546,,,false,false,,
-,0.623,242.1761,70176.15407,,,false,false,,
+,0.625,337.16241,38646.12804,,,false,false,,
+,0.625,291.12036,19453.58955,,,false,false,,
+,0.629,397.30634,14127.49534,,,false,false,,
+,0.629,235.09644,5705.90173,,,false,false,,
-,0.63,339.18115,46245.99723,,,true,false,,
+,0.63,223.14188,158655.7632,,,true,false,,
+,0.63,303.17801,13065.04496,,,false,false,,
-,0.631,340.18521,10399.86283,,,false,false,,
+,0.631,281.13815,42070.51781,,,false,false,,
+,0.631,279.12033,41164.3461,,,false,false,,
+,0.631,313.16232,27466.83052,,,false,false,,
+,0.632,282.14246,34191.78874,,,false,false,,
+,0.632,487.33569,11638.4709,,,false,false,,
+,0.633,215.12561,43699.91896,,,false,false,,
+,0.633,214.14151,15312.44846,,,false,false,,
+,0.635,293.13611,31035.01622,,,false,false,,
+,0.635,311.14651,16140.55365,,,false,false,,
+,0.635,531.36255,11043.59384,,,false,false,,
+,0.636,323.14676,23580.99818,,,false,false,,
+,0.636,307.11533,11301.79686,,,false,false,,
+,0.637,295.09195,141950.5991,,,true,false,,
+,0.638,261.19617,4275.87898,,,false,false,,
+,0.639,246.13943,13767.0062,,,false,false,,
+,0.642,306.13962,26075.36445,,,false,false,,
-,0.643,331.11655,22240.87534,,,false,false,,
+,0.643,245.13605,129326.2341,,,false,false,,
+,0.643,349.16422,12977.39242,,,false,false,,
+,0.643,356.20911,12576.55001,,,false,false,,
+,0.643,633.43304,10846.69979,,,false,false,,
+,0.643,339.12122,7370.51214,,,false,false,,
+,0.644,342.26398,76435.3155,,,false,false,,
+,0.645,305.13617,61988.70708,,,false,false,,
+,0.645,284.20691,18944.22754,,,false,false,,
+,0.646,381.12619,18114.6302,,,false,false,,
-,0.647,295.11877,50795.70818,,,true,false,,
-,0.647,311.10364,7625.605765,,,false,false,,
+,0.647,308.15802,44955.72099,,,false,false,,
+,0.647,288.21692,15209.86913,,,false,false,,
+,0.647,391.17398,6836.713338,,,false,false,,
-,0.648,335.14798,48847.69466,,,true,false,,
+,0.649,299.12302,153182.4141,,,true,false,,
+,0.649,381.18875,19128.68351,,,false,false,,
+,0.649,249.15973,5263.289934,,,false,false,,
+,0.65,589.40381,12758.98776,,,false,false,,
-,0.651,249.11319,245357.5342,,,true,false,,
+,0.651,315.09689,41257.89803,,,false,false,,
+,0.651,338.1702,10317.41487,,,false,false,,
+,0.652,238.07993,35282.89722,,,false,false,,
+,0.652,421.22198,8621.933703,,,false,false,,
+,0.653,283.23804,8511.281629,,,false,false,,
-,0.654,253.14429,30352.14573,,,true,false,,
+,0.655,333.13104,12689.54523,,,false,false,,
+,0.655,351.17969,17854.04126,,,false,false,,
+,0.657,205.12268,28768.1745,,,false,false,,
+,0.658,328.21191,19859.94371,,,false,false,,
+,0.658,728.44464,6066.924005,,,false,false,,
+,0.659,316.21191,35203.29425,,,false,false,,
+,0.66,233.11731,17447.06193,,,false,false,,
+,0.66,285.19617,10055.4269,,,false,false,,
-,0.661,243.16002,28937.44989,,,true,false,,
-,0.661,207.13852,22404.84238,,,true,false,,
-,0.661,725.4762,4708.113086,,,false,false,,
+,0.661,248.201,5195.324035,,,false,false,,
+,0.662,293.1152,5707.954445,,,false,false,,
+,0.662,444.24847,5220.124865,,,false,false,,
-,0.663,209.15425,405031.1693,,,true,false,,
+,0.664,278.21182,165206.1143,,,false,false,,
+,0.664,280.20789,25759.77832,,,false,false,,
+,0.665,273.1673,164206.6994,,,false,false,,
+,0.665,545.37689,12005.0863,,,false,false,,
+,0.666,488.20496,2747.55927,,,false,false,,
+,0.667,279.20441,213961.5769,,,true,false,,
+,0.667,294.16986,28263.96421,,,false,false,,
+,0.667,277.14313,25662.9787,,,false,false,,
+,0.667,289.14294,11750.53288,,,false,false,,
+,0.667,234.18549,6200.398929,,,false,false,,
+,0.667,301.1908,3252.356438,,,false,false,,
+,0.668,391.30728,11088.89578,,,false,false,,
+,0.669,295.17828,21611.41777,,,false,false,,
+,0.669,423.4061,20763.2986,,,false,false,,
+,0.669,475.2674,8319.974985,,,false,false,,
-,0.67,238.07188,13921.53169,,,false,false,,
+,0.67,292.11075,4868.623867,,,false,false,,
+,0.67,471.30637,4145.710279,,,false,false,,
+,0.671,255.15916,7789.893634,,,false,false,,
+,0.671,490.22598,10597.48534,,,false,false,,
+,0.671,489.22458,4668.16414,,,false,false,,
+,0.672,302.20786,2903.185545,,,false,false,,
+,0.673,414.28546,8129.257026,,,false,false,,
+,0.673,594.34033,3988.736996,,,false,false,,
+,0.674,257.22253,171155.4423,,,true,false,,
+,0.674,629.52319,11574.77063,,,false,false,,
+,0.674,532.26398,4860.894827,,,false,false,,
+,0.676,631.53882,44239.56455,,,false,false,,
+,0.677,617.52356,18429.6352,,,false,false,,
+,0.677,257.13599,8735.747599,,,false,false,,
+,0.677,305.2226,5528.197247,,,false,false,,
+,0.677,338.2323,2415.122679,,,false,false,,
-,0.679,379.15536,365098.873,,,false,false,,
-,0.679,486.19138,4344.516351,,,false,false,,
+,0.679,334.17639,13631.90432,,,false,false,,
+,0.679,298.21255,11672.60942,,,false,false,,
+,0.679,467.15881,8022.708927,,,false,false,,
+,0.679,500.2413,4520.416567,,,false,false,,
+,0.679,550.27911,4287.361842,,,false,false,,
-,0.68,596.24835,6184.576358,,,false,false,,
-,0.681,564.2583,13509.70807,,,false,false,,
-,0.681,395.14999,23850.2212,,,false,false,,
+,0.681,320.23306,22569.1651,,,false,false,,
+,0.681,502.26346,3894.234302,,,false,false,,
+,0.683,358.18741,6848.350585,,,false,false,,
+,0.683,548.26257,6585.279865,,,false,false,,
+,0.684,566.27301,13132.01726,,,false,false,,
+,0.684,290.23276,6588.76999,,,false,false,,
+,0.684,284.18542,6125.267371,,,false,false,,
+,0.685,314.18387,104760.1705,,,true,false,,
+,0.685,492.40253,39235.3862,,,false,false,,
+,0.685,359.25766,16201.17741,,,false,false,,
-,0.686,471.27628,7515.663379,,,false,false,,
+,0.686,491.41873,38199.46905,,,false,false,,
+,0.686,349.20074,11596.4275,,,false,false,,
+,0.687,235.13254,13110.96512,,,false,false,,
+,0.687,592.45557,10454.58311,,,false,false,,
+,0.687,701.58069,9108.166076,,,false,false,,
+,0.687,538.41254,8939.921519,,,false,false,,
+,0.687,499.34393,1707.636066,,,false,false,,
+,0.688,347.1835,11875.356,,,false,false,,
-,0.689,329.2334,15871.50544,,,false,false,,
+,0.689,331.20908,47005.53837,,,false,false,,
+,0.689,367.211,8382.19644,,,false,false,,
+,0.689,353.23022,6264.755032,,,false,false,,
+,0.689,243.14937,6078.053919,,,false,false,,
+,0.689,430.28021,3524.2331,,,false,false,,
-,0.69,309.17087,97542.31724,,,false,false,,
+,0.69,361.24835,3609.758737,,,false,false,,
+,0.691,534.28412,5849.084474,,,false,false,,
+,0.691,647.53381,14135.80304,,,false,false,,
+,0.691,312.32611,6932.226183,,,false,false,,
+,0.691,243.1378,4812.616956,,,false,false,,
+,0.692,308.09094,14428.97491,,,false,false,,
+,0.692,528.23718,8416.554511,,,false,false,,
+,0.692,882.60144,5028.696912,,,false,false,,
+,0.692,306.20609,4849.524124,,,false,false,,
+,0.693,530.25323,4794.429482,,,false,false,,
+,0.694,382.34293,15746.59838,,,false,false,,
+,0.694,231.18553,5682.381607,,,false,false,,
+,0.695,508.31354,8253.077792,,,false,false,,
+,0.695,351.21506,6218.23908,,,false,false,,
+,0.695,206.1541,4785.236871,,,false,false,,
+,0.695,584.3775,4032.310405,,,false,false,,
+,0.696,342.1788,55058.53971,,,false,false,,
+,0.696,270.18118,50478.35434,,,true,false,,
+,0.696,543.29431,3909.718054,,,false,false,,
+,0.697,604.42743,11842.73626,,,false,false,,
+,0.697,295.22708,2650.566237,,,false,false,,
+,0.698,517.47052,24987.08165,,,false,false,,
+,0.698,926.6275,4335.256514,,,false,false,,
+,0.699,330.15771,29210.36201,,,false,false,,
+,0.7,358.1528,35807.81031,,,false,false,,
+,0.7,487.30188,4859.349517,,,false,false,,
+,0.7,536.30035,3655.233056,,,false,false,,
+,0.701,417.27509,12094.48985,,,false,false,,
+,0.701,371.18512,7545.807927,,,false,false,,
+,0.702,295.23788,14801.77848,,,false,false,,
+,0.702,286.18054,8722.195431,,,false,false,,
+,0.702,794.54828,8151.950318,,,false,false,,
+,0.703,356.19482,19134.37266,,,false,false,,
+,0.703,838.57434,7284.696241,,,false,false,,
-,0.704,318.18228,37294.39488,,,false,false,,
+,0.704,431.09537,109584.6929,,,true,false,,
+,0.704,438.41687,21078.37463,,,false,false,,
+,0.704,294.24277,12410.63875,,,false,false,,
+,0.704,516.37512,8126.510856,,,false,false,,
+,0.705,481.40051,51639.6361,,,false,false,,
+,0.705,560.40173,8692.508468,,,false,false,,
+,0.706,320.19702,132471.6892,,,true,false,,
+,0.706,378.25034,23521.80309,,,false,false,,
+,0.706,606.47083,14170.68404,,,false,false,,
+,0.706,389.26691,9376.039101,,,false,false,,
+,0.706,240.14981,2721.017,,,false,false,,
+,0.707,300.21695,9706.536825,,,false,false,,
-,0.708,263.12875,56982.41706,,,false,false,,
-,0.709,277.14456,24360.24043,,,false,false,,
+,0.709,292.20181,398834.6761,,,true,false,,
+,0.709,292.16342,119740.4127,,,true,false,,
-,0.71,290.18756,57974.39838,,,true,false,,
+,0.71,278.17505,8065.633118,,,false,false,,
+,0.71,581.2395,5554.315928,,,false,false,,
+,0.71,542.36737,4582.411002,,,false,false,,
+,0.711,350.25516,94695.09594,,,true,false,,
+,0.711,334.21243,65155.06369,,,false,false,,
+,0.711,500.32144,3812.054388,,,false,false,,
+,0.711,446.27478,3516.653992,,,false,false,,
+,0.712,337.25958,5456.486966,,,false,false,,
+,0.712,587.35608,5338.043567,,,false,false,,
-,0.714,221.15427,78724.23318,,,true,false,,
+,0.714,419.30191,14111.52233,,,false,false,,
+,0.714,350.23337,3013.379112,,,false,false,,
+,0.715,460.2829,6370.701689,,,false,false,,
+,0.715,883.75836,3843.953885,,,false,false,,
+,0.716,377.29123,32408.18915,,,false,false,,
-,0.717,359.18658,7799.55482,,,false,false,,
+,0.717,644.57043,10340.61351,,,false,false,,
+,0.717,377.27966,9037.49896,,,false,false,,
+,0.717,279.24316,6925.173475,,,false,false,,
+,0.718,389.28012,31074.24957,,,false,false,,
+,0.718,603.54395,8262.230523,,,false,false,,
-,0.719,293.17947,45804.73818,,,false,false,,
+,0.719,332.24289,9397.237959,,,false,false,,
+,0.72,401.15921,7247.05419,,,false,false,,
-,0.721,287.22302,10835.3671,,,false,false,,
+,0.722,472.34821,6018.244792,,,false,false,,
-,0.723,429.08038,211497.2385,,,true,false,,
+,0.723,377.31622,37727.82884,,,false,false,,
+,0.723,544.36993,4498.587907,,,false,false,,
-,0.724,249.14946,701513.1462,,,true,false,,
-,0.724,205.15923,158673.2518,,,true,false,,
-,0.724,213.149,23437.74061,,,false,false,,
+,0.724,324.22806,49741.57571,,,false,false,,
+,0.725,356.24307,17279.38909,,,false,false,,
+,0.725,626.42444,15157.81738,,,false,false,,
+,0.726,328.20172,30565.25737,,,false,false,,
+,0.726,389.25677,16262.60121,,,false,false,,
+,0.726,405.22592,9086.296882,,,false,false,,
+,0.726,267.19559,7647.284183,,,false,false,,
-,0.728,372.22903,46444.05257,,,true,false,,
+,0.728,358.30173,10825.26794,,,false,false,,
+,0.729,436.29202,21297.68272,,,false,false,,
-,0.73,449.21817,37449.23028,,,true,false,,
-,0.73,478.2438,10681.3663,,,false,false,,
-,0.73,534.22852,10247.91789,,,false,false,,
+,0.73,374.2439,211875.1975,,,true,false,,
+,0.73,432.297,63390.60634,,,false,false,,
+,0.73,238.15927,6527.874112,,,false,false,,
+,0.731,230.24779,7539.003995,,,false,false,,
+,0.731,383.33069,4825.831892,,,false,false,,
+,0.731,460.24551,4092.391583,,,false,false,,
+,0.731,245.20091,3915.806399,,,false,false,,
+,0.733,618.4444,6340.035848,,,false,false,,
-,0.734,532.23303,29869.53917,,,false,false,,
+,0.734,715.59644,24857.85018,,,false,false,,
+,0.734,378.23868,21111.21738,,,false,false,,
+,0.734,940.64496,4604.767295,,,false,false,,
+,0.735,556.32251,21296.57523,,,false,false,,
+,0.736,540.27307,6024.46626,,,false,false,,
+,0.736,495.3562,5367.824368,,,false,false,,
+,0.737,430.23135,46886.16366,,,false,false,,
+,0.737,389.23224,5629.92413,,,false,false,,
+,0.737,395.13373,15090.04747,,,false,false,,
+,0.737,536.22614,13440.8653,,,false,false,,
+,0.737,473.25674,4637.186555,,,false,false,,
+,0.738,556.38226,9715.789799,,,false,false,,
+,0.738,533.23627,9370.997768,,,false,false,,
+,0.738,498.26077,4712.834095,,,false,false,,
+,0.739,414.23651,22267.92518,,,false,false,,
+,0.739,370.21191,9518.813494,,,false,false,,
+,0.739,549.21045,5135.858991,,,false,false,,
-,0.74,390.24005,17366.36124,,,false,false,,
+,0.74,393.31128,40589.16105,,,false,false,,
+,0.74,319.23788,38381.32869,,,true,false,,
+,0.74,362.24387,36204.11747,,,false,false,,
+,0.74,520.25195,17535.20463,,,false,false,,
+,0.74,359.22183,7417.500942,,,false,false,,
+,0.74,852.59174,5071.327426,,,false,false,,
+,0.74,251.20035,3874.126721,,,false,false,,
+,0.741,364.25946,28454.37516,,,false,false,,
+,0.741,219.13783,14913.5297,,,false,false,,
+,0.741,528.2807,8339.947108,,,false,false,,
+,0.741,409.28079,5796.499464,,,false,false,,
+,0.741,273.185,2186.666468,,,false,false,,
+,0.742,318.24255,38718.23606,,,false,false,,
+,0.742,353.25803,7016.578635,,,false,false,,
+,0.742,346.24857,6983.056777,,,false,false,,
+,0.742,388.22247,3967.636593,,,false,false,,
+,0.743,383.18176,4431.958766,,,false,false,,
+,0.744,408.24942,172761.423,,,true,false,,
+,0.744,450.30783,96350.14496,,,true,false,,
+,0.744,392.25421,66239.50966,,,false,false,,
+,0.744,425.276,24338.74521,,,false,false,,
+,0.744,446.20535,23303.06306,,,false,false,,
+,0.744,432.18976,9605.010075,,,false,false,,
+,0.744,542.32745,6715.493556,,,false,false,,
+,0.744,289.17981,5069.017212,,,false,false,,
+,0.745,493.33908,34008.74074,,,false,false,,
+,0.745,405.27487,17860.3891,,,false,false,,
+,0.745,420.26105,7256.955118,,,false,false,,
+,0.745,544.30255,4509.985645,,,false,false,,
-,0.746,361.23898,5325.694729,,,false,false,,
+,0.746,394.23373,104919.5604,,,false,false,,
+,0.746,317.17456,18392.57438,,,false,false,,
+,0.746,479.32312,16607.19325,,,false,false,,
+,0.746,403.2594,12019.04567,,,false,false,,
+,0.746,358.22208,4067.357697,,,false,false,,
+,0.747,466.30264,207534.7339,LysoPC 14:1,,true,true,false,
+,0.747,450.23654,136138.6554,,,true,false,,
+,0.747,640.43994,21726.88011,,,false,false,,
+,0.747,365.30893,18504.56399,,,false,false,,
+,0.747,516.27252,16594.20974,,,false,false,,
+,0.747,477.34402,16211.80181,,,false,false,,
+,0.747,485.35861,15974.28564,,,false,false,,
+,0.747,358.259,14316.72387,,,false,false,,
+,0.747,558.31946,6936.339762,,,false,false,,
-,0.748,375.21783,6475.541045,,,false,false,,
+,0.748,466.21069,40622.59397,,,false,false,,
+,0.748,336.19156,10403.64623,,,false,false,,
+,0.748,342.21735,10356.30844,,,false,false,,
+,0.748,365.26337,5495.369267,,,false,false,,
+,0.748,362.2081,5259.933717,,,false,false,,
+,0.748,501.35208,3041.905179,,,false,false,,
+,0.749,348.22812,15859.70012,,,false,false,,
+,0.749,507.35196,5023.686681,,,false,false,,
+,0.749,562.44409,4759.667177,,,false,false,,
+,0.75,729.61133,36192.64868,,,false,false,,
+,0.75,219.14195,18013.20984,,,false,false,,
+,0.752,452.28696,135122.743,,,true,false,,
-,0.753,316.16632,32034.75713,,,true,false,,
+,0.753,428.25461,1483762.667,,,true,false,,
+,0.753,493.24353,18970.85125,,,false,false,,
+,0.753,488.27734,11653.92963,,,false,false,,
+,0.753,209.20125,7801.682085,,,false,false,,
+,0.753,279.23181,5939.413293,,,false,false,,
+,0.754,584.33636,4753.505281,,,false,false,,
+,0.754,896.61584,4227.15348,,,false,false,,
+,0.754,300.19595,3072.299216,,,false,false,,
+,0.754,500.34439,2498.55769,,,false,false,,
+,0.755,457.30533,18198.19216,,,false,false,,
+,0.755,574.2771,7537.248536,,,false,false,,
+,0.756,236.16451,11230.07322,,,false,false,,
+,0.756,485.28879,3121.790731,,,false,false,,
+,0.757,222.18533,7954.445527,,,false,false,,
+,0.757,556.2652,2728.375116,,,false,false,,
+,0.759,576.33167,8757.508578,,,false,false,,
-,0.76,532.26617,15718.12717,,,false,false,,
+,0.76,448.29208,23949.24438,,,false,false,,
+,0.76,576.46008,8583.907403,,,false,false,,
+,0.761,439.29196,13265.55959,,,false,false,,
+,0.763,500.27719,29988.18856,,,false,false,,
+,0.763,233.15327,13404.53872,,,false,false,,
+,0.763,557.32483,10820.71954,,,false,false,,
+,0.764,604.45532,5365.701362,,,false,false,,
+,0.764,268.17691,3289.079541,,,false,false,,
+,0.766,344.19669,7950.889112,,,false,false,,
+,0.766,458.31003,3397.463753,,,false,false,,
-,0.767,498.29047,4083.367367,,,false,false,,
+,0.767,405.31168,7508.2339,,,false,false,,
+,0.767,528.35236,1595.667198,,,false,false,,
+,0.768,354.15775,27032.60735,,,false,false,,
+,0.768,484.3031,10247.02849,,,false,false,,
+,0.768,305.21011,7236.778491,,,false,false,,
-,0.769,442.21201,7096.812258,,,false,false,,
+,0.769,370.25885,93897.86638,,,true,false,,
+,0.769,293.22217,20623.5822,,,false,false,,
+,0.769,531.88916,12994.75285,,,false,false,,
+,0.769,464.28302,12222.04707,,,false,false,,
+,0.769,507.39008,2813.572333,,,false,false,,
+,0.769,369.16891,2178.678757,,,false,false,,
+,0.77,409.16223,14909.62079,,,false,false,,
+,0.77,472.26996,13443.15257,,,false,false,,
+,0.77,743.50372,8376.553398,,,false,false,,
+,0.77,542.28778,5723.563562,,,false,false,,
+,0.772,279.0932,12834.07349,,,false,false,,
+,0.773,431.09509,142017.2443,,,false,false,,
